graph_id,split,cycle_size,seed,method_family,method_name,experiment,feature_set,checkpoint_selection,num_vertices,num_edges,known_chromatic_number,target_colors,best_colpack5_colors,gnn_num_colors,gnn_gap_from_target,gnn_gap_from_chromatic,gnn_gap_from_colpack5,gnn_beats_colpack5,gnn_matches_chromatic,valid,runtime_seconds,checkpoint_path
week17_cycle_square_c32,validation,32,0,gnn,GNNNodeScorer,WEEK17_BICKLE_EXACT_OPTIMAL,WEEK17_SYMMETRY_BREAKING_25,validation_total_colors_then_validation_loss,32,64,4,4,5,4,0,0,-1,True,True,True,0.0016867001540958881,results\models\gnn_node_scorer\week17_bickle_exact_gnn_runs\best_gnn_node_scorer_seed_0.pt
week17_cycle_square_c17,test,17,0,gnn,GNNNodeScorer,WEEK17_BICKLE_EXACT_OPTIMAL,WEEK17_SYMMETRY_BREAKING_25,validation_total_colors_then_validation_loss,17,34,4,4,5,4,0,0,-1,True,True,True,0.0007307999767363071,results\models\gnn_node_scorer\week17_bickle_exact_gnn_runs\best_gnn_node_scorer_seed_0.pt
week17_cycle_square_c20,test,20,0,gnn,GNNNodeScorer,WEEK17_BICKLE_EXACT_OPTIMAL,WEEK17_SYMMETRY_BREAKING_25,validation_total_colors_then_validation_loss,20,40,4,4,5,4,0,0,-1,True,True,True,0.0006441001314669847,results\models\gnn_node_scorer\week17_bickle_exact_gnn_runs\best_gnn_node_scorer_seed_0.pt
week17_cycle_square_c32,validation,32,1,gnn,GNNNodeScorer,WEEK17_BICKLE_EXACT_OPTIMAL,WEEK17_SYMMETRY_BREAKING_25,validation_total_colors_then_validation_loss,32,64,4,4,5,4,0,0,-1,True,True,True,0.0010647999588400126,results\models\gnn_node_scorer\week17_bickle_exact_gnn_runs\best_gnn_node_scorer_seed_1.pt
week17_cycle_square_c17,test,17,1,gnn,GNNNodeScorer,WEEK17_BICKLE_EXACT_OPTIMAL,WEEK17_SYMMETRY_BREAKING_25,validation_total_colors_then_validation_loss,17,34,4,4,5,4,0,0,-1,True,True,True,0.0006750999018549919,results\models\gnn_node_scorer\week17_bickle_exact_gnn_runs\best_gnn_node_scorer_seed_1.pt
week17_cycle_square_c20,test,20,1,gnn,GNNNodeScorer,WEEK17_BICKLE_EXACT_OPTIMAL,WEEK17_SYMMETRY_BREAKING_25,validation_total_colors_then_validation_loss,20,40,4,4,5,4,0,0,-1,True,True,True,0.0007130999583750963,results\models\gnn_node_scorer\week17_bickle_exact_gnn_runs\best_gnn_node_scorer_seed_1.pt
week17_cycle_square_c32,validation,32,2,gnn,GNNNodeScorer,WEEK17_BICKLE_EXACT_OPTIMAL,WEEK17_SYMMETRY_BREAKING_25,validation_total_colors_then_validation_loss,32,64,4,4,5,4,0,0,-1,True,True,True,0.0008853001054376364,results\models\gnn_node_scorer\week17_bickle_exact_gnn_runs\best_gnn_node_scorer_seed_2.pt
week17_cycle_square_c17,test,17,2,gnn,GNNNodeScorer,WEEK17_BICKLE_EXACT_OPTIMAL,WEEK17_SYMMETRY_BREAKING_25,validation_total_colors_then_validation_loss,17,34,4,4,5,4,0,0,-1,True,True,True,0.0006792999338358641,results\models\gnn_node_scorer\week17_bickle_exact_gnn_runs\best_gnn_node_scorer_seed_2.pt
week17_cycle_square_c20,test,20,2,gnn,GNNNodeScorer,WEEK17_BICKLE_EXACT_OPTIMAL,WEEK17_SYMMETRY_BREAKING_25,validation_total_colors_then_validation_loss,20,40,4,4,5,4,0,0,-1,True,True,True,0.0006438998971134424,results\models\gnn_node_scorer\week17_bickle_exact_gnn_runs\best_gnn_node_scorer_seed_2.pt
week17_cycle_square_c32,validation,32,3,gnn,GNNNodeScorer,WEEK17_BICKLE_EXACT_OPTIMAL,WEEK17_SYMMETRY_BREAKING_25,validation_total_colors_then_validation_loss,32,64,4,4,5,4,0,0,-1,True,True,True,0.0012640999630093575,results\models\gnn_node_scorer\week17_bickle_exact_gnn_runs\best_gnn_node_scorer_seed_3.pt
