graph_id,split,group,seed,method_family,method_name,target_ordering,feature_set,checkpoint_selection,ordering_name,num_vertices,num_edges,target_colors,num_colors,gap_from_target,valid,runtime_seconds,selected_teacher_ordering,checkpoint_path,best_colors,matches_best_of_5,gap_to_best_of_5,gnn_checkpoint_label
dwt_419,validation,original_sparse_matrix,0,gnn,GNNNodeScorer,WEEK17_BEST_AVAILABLE_OF_5,WEEK17_SYMMETRY_BREAKING_25,validation_total_colors_then_validation_loss,learned_ordering_from_predicted_scores,419,1572,6,6,0,True,0.0041789000388234,INCIDENCE_DEGREE,results\models\gnn_node_scorer\week17_symmetry_breaking_validation_color_selection_runs\best_gnn_node_scorer_seed_0.pt,6,True,0,GNN_COLOR_SELECTED
week17_lshp_265,validation,structured_matrix,0,gnn,GNNNodeScorer,WEEK17_BEST_AVAILABLE_OF_5,WEEK17_SYMMETRY_BREAKING_25,validation_total_colors_then_validation_loss,learned_ordering_from_predicted_scores,265,744,4,5,1,True,0.0019165000412613,INCIDENCE_DEGREE,results\models\gnn_node_scorer\week17_symmetry_breaking_validation_color_selection_runs\best_gnn_node_scorer_seed_0.pt,4,False,1,GNN_COLOR_SELECTED
bcsstk06,test,original_sparse_matrix,0,gnn,GNNNodeScorer,WEEK17_BEST_AVAILABLE_OF_5,WEEK17_SYMMETRY_BREAKING_25,validation_total_colors_then_validation_loss,learned_ordering_from_predicted_scores,420,3720,12,15,3,True,0.0038212998770177,DYNAMIC_LARGEST_FIRST,results\models\gnn_node_scorer\week17_symmetry_breaking_validation_color_selection_runs\best_gnn_node_scorer_seed_0.pt,12,False,3,GNN_COLOR_SELECTED
sherman1,test,original_sparse_matrix,0,gnn,GNNNodeScorer,WEEK17_BEST_AVAILABLE_OF_5,WEEK17_SYMMETRY_BREAKING_25,validation_total_colors_then_validation_loss,learned_ordering_from_predicted_scores,1000,1375,2,4,2,True,0.0026959001552313,INCIDENCE_DEGREE,results\models\gnn_node_scorer\week17_symmetry_breaking_validation_color_selection_runs\best_gnn_node_scorer_seed_0.pt,2,False,2,GNN_COLOR_SELECTED
week17_bcsstk08,test,structured_matrix,0,gnn,GNNNodeScorer,WEEK17_BEST_AVAILABLE_OF_5,WEEK17_SYMMETRY_BREAKING_25,validation_total_colors_then_validation_loss,learned_ordering_from_predicted_scores,1074,5943,8,12,4,True,0.0050651000346988,INCIDENCE_DEGREE,results\models\gnn_node_scorer\week17_symmetry_breaking_validation_color_selection_runs\best_gnn_node_scorer_seed_0.pt,8,False,4,GNN_COLOR_SELECTED
week17_gr_30_30,test,structured_matrix,0,gnn,GNNNodeScorer,WEEK17_BEST_AVAILABLE_OF_5,WEEK17_SYMMETRY_BREAKING_25,validation_total_colors_then_validation_loss,learned_ordering_from_predicted_scores,900,3422,4,7,3,True,0.0036973000969737,LARGEST_FIRST,results\models\gnn_node_scorer\week17_symmetry_breaking_validation_color_selection_runs\best_gnn_node_scorer_seed_0.pt,4,False,3,GNN_COLOR_SELECTED
dwt_419,validation,original_sparse_matrix,1,gnn,GNNNodeScorer,WEEK17_BEST_AVAILABLE_OF_5,WEEK17_SYMMETRY_BREAKING_25,validation_total_colors_then_validation_loss,learned_ordering_from_predicted_scores,419,1572,6,6,0,True,0.0021083999890834,INCIDENCE_DEGREE,results\models\gnn_node_scorer\week17_symmetry_breaking_validation_color_selection_runs\best_gnn_node_scorer_seed_1.pt,6,True,0,GNN_COLOR_SELECTED
week17_lshp_265,validation,structured_matrix,1,gnn,GNNNodeScorer,WEEK17_BEST_AVAILABLE_OF_5,WEEK17_SYMMETRY_BREAKING_25,validation_total_colors_then_validation_loss,learned_ordering_from_predicted_scores,265,744,4,5,1,True,0.0059843999333679,INCIDENCE_DEGREE,results\models\gnn_node_scorer\week17_symmetry_breaking_validation_color_selection_runs\best_gnn_node_scorer_seed_1.pt,4,False,1,GNN_COLOR_SELECTED
bcsstk06,test,original_sparse_matrix,1,gnn,GNNNodeScorer,WEEK17_BEST_AVAILABLE_OF_5,WEEK17_SYMMETRY_BREAKING_25,validation_total_colors_then_validation_loss,learned_ordering_from_predicted_scores,420,3720,12,13,1,True,0.0051911999471485,DYNAMIC_LARGEST_FIRST,results\models\gnn_node_scorer\week17_symmetry_breaking_validation_color_selection_runs\best_gnn_node_scorer_seed_1.pt,12,False,1,GNN_COLOR_SELECTED
sherman1,test,original_sparse_matrix,1,gnn,GNNNodeScorer,WEEK17_BEST_AVAILABLE_OF_5,WEEK17_SYMMETRY_BREAKING_25,validation_total_colors_then_validation_loss,learned_ordering_from_predicted_scores,1000,1375,2,5,3,True,0.0027417999226599,INCIDENCE_DEGREE,results\models\gnn_node_scorer\week17_symmetry_breaking_validation_color_selection_runs\best_gnn_node_scorer_seed_1.pt,2,False,3,GNN_COLOR_SELECTED
